r,U
19.7,-4.988731872121925e-11
19.8,-4.839454132775615e-11
19.9,-4.695361787370795e-11
20.0,-4.5562499999481007e-11
20.1,-4.421922992700364e-11
20.2,-4.292193603080921e-11
20.3,-4.166882864616142e-11
20.4,-4.0458196100449157e-11
20.5,-3.928840095493957e-11
20.6,-3.8157876444784976e-11
20.7,-3.706512310592852e-11
20.8,-3.60087055782556e-11
20.9,-3.498724957499293e-11
21.0,-3.3999439008967353e-11
21.1,-3.304401326691019e-11
21.2,-3.211976462352485e-11
21.3,-3.12255357875365e-11
21.4,-3.036021757240942e-11
21.5,-2.952274668485388e-11
21.6,-2.8712103624655355e-11
21.7,-2.792731068973991e-11
21.8,-2.7167430080749754e-11
21.9,-2.643156209973842e-11
22.0,-2.5718843437909863e-11
22.1,-2.502844554762153e-11
22.2,-2.4359573094147235e-11
22.3,-2.3711462482956262e-11
22.4,-2.308338045850848e-11
22.5,-2.247462277079278e-11
22.6,-2.188451290605269e-11
22.7,-2.131240087834235e-11
22.8,-2.0757662078746743e-11
22.9,-2.0219696179277718e-11
23.0,-1.9697926088623273e-11
23.1,-1.919179695708655e-11
23.2,-1.87007752281967e-11
23.3,-1.822434773461433e-11
23.4,-1.7762020836083963e-11
23.5,-1.731331959730927e-11
23.6,-1.6877787003742565e-11
23.7,-1.645498321338918e-11
23.8,-1.6044484842829736e-11
23.9,-1.5645884285760384e-11
24.0,-1.5258789062441786e-11
24.1,-1.4882821198534092e-11
24.2,-1.4517616631875445e-11
24.3,-1.4162824645838448e-11
24.4,-1.3818107327970946e-11
24.5,-1.3483139052695023e-11
24.6,-1.3157605986902883e-11
24.7,-1.2841205617348274e-11
24.8,-1.2533646298789428e-11
24.9,-1.2234646821893673e-11
25.0,-1.1943935999964338e-11
25.1,-1.1661252273599307e-11
25.2,-1.1386343332435658e-11
25.3,-1.1118965753177858e-11
25.4,-1.0858884653148132e-11
25.5,-1.0605873358635296e-11
25.6,-1.035971308735542e-11
25.7,-1.0120192644371725e-11
25.8,-9.887108130853616e-12
25.9,-9.660262665086054e-12
26.0,-9.439466115168936e-12
26.1,-9.224534842874384e-12
26.2,-9.015291458155698e-12
26.3,-8.811564583826509e-12
26.4,-8.613188629952424e-12
26.5,-8.420003577519181e-12
26.6,-8.231854770963125e-12
26.7,-8.048592719169073e-12
26.8,-7.870072904560207e-12
26.9,-7.696155599922278e-12
27.0,-7.526705692621522e-12
27.1,-7.361592515891937e-12
27.2,-7.200689686882977e-12
27.3,-7.043874951173013e-12
27.4,-6.891030033468269e-12
27.5,-6.742040494219427e-12
27.6,-6.5967955919012946e-12
27.7,-6.455188150712082e-12
27.8,-6.317114433460722e-12
27.9,-6.1824740194209236e-12
28.0,-6.0511696869410115e-12
28.1,-5.923107300608399e-12
28.2,-5.798195702776408e-12
28.3,-5.676346609270181e-12
28.4,-5.5574745090967265e-12
28.5,-5.441496567991823e-12
28.6,-5.328332535644347e-12
28.7,-5.217904656445524e-12
28.8,-5.110137583617494e-12
28.9,-5.004958296582158e-12
29.0,-4.902296021437307e-12
29.1,-4.802082154413035e-12
29.2,-4.704250188187001e-12
29.3,-4.608735640942445e-12
29.4,-4.5154759880579606e-12
29.5,-4.4244105963228656e-12
29.6,-4.3354806605767126e-12
29.7,-4.248629142675688e-12
29.8,-4.16380071269311e-12
29.9,-4.080941692265054e-12
30.0,-3.9999999999960005e-12
30.1,-3.92092509884312e-12
30.2,-3.843667945401157e-12
30.3,-3.7681809410132775e-12
30.4,-3.694417884636457e-12
30.5,-3.6223339273928475e-12
30.6,-3.5518855287416137e-12
30.7,-3.4830304142083798e-12
30.8,-3.4157275346121285e-12
30.9,-3.3499370267318137e-12
31.0,-3.2856201753574535e-12
31.1,-3.2227393766727027e-12
31.2,-3.1612581029180863e-12
31.3,-3.1011408682861728e-12
31.4,-3.042353196002063e-12
31.5,-2.9848615865442816e-12
31.6,-2.9286334869632004e-12
31.7,-2.873637261255729e-12
31.8,-2.8198421617567175e-12
31.9,-2.7672183015091917e-12
32.0,-2.715736627576891e-12
32.1,-2.6653688952642732e-12
32.2,-2.6160876432103362e-12
32.3,-2.56786616932411e-12
32.4,-2.5206785075308297e-12
32.5,-2.474499405299154e-12
32.6,-2.4293043019208283e-12
32.7,-2.38506930751544e-12
32.8,-2.3417711827339238e-12
32.9,-2.2993873191355023e-12
