r,g_sim,uncertainty
0.01,0.0,0.0
0.03,0.0,0.0
0.05,0.0,0.0
0.07,0.0,0.0
0.09,0.0,0.0
0.11,0.0,0.0
0.13,0.0,0.0
0.15000000000000002,0.0,0.0
0.16999999999999998,0.0,0.0
0.19,0.0,0.0
0.21000000000000002,0.0,0.0
0.22999999999999998,0.0,0.0
0.25,0.0,0.0
0.27,0.0,0.0
0.29000000000000004,0.0,0.0
0.31,0.0,0.0
0.33,0.0,0.0
0.35,0.0,0.0
0.37,0.0,0.0
0.39,0.0,0.0
0.41000000000000003,0.0,0.0
0.43,0.0,0.0
0.45,0.0,0.0
0.47,0.0,0.0
0.49,0.0,0.0
0.51,0.0,0.0
0.53,0.0,0.0
0.55,0.0,0.0
0.5700000000000001,0.0,0.0
0.59,0.0,0.0
0.61,0.0,0.0
0.63,0.0,0.0
0.65,0.0,0.0
0.67,0.0,0.0
0.6900000000000001,0.0,0.0
0.71,0.0,0.0
0.73,0.0,0.0
0.75,0.0,0.0
0.77,0.0,0.0
0.79,0.0,0.0
0.81,0.0,0.0
0.8300000000000001,0.0,0.0
0.85,0.0,0.0
0.87,0.0,0.0
0.89,0.0,0.0
0.91,0.0,0.0
0.93,0.4389818931575525,4.389818931575527
0.95,0.0,0.0
0.97,239.90134181733995,71.90997627690344
0.99,16936.320512466704,417.6952052465943
1.01,19583.216956948887,502.38464942809776
1.03,557.2853823834494,117.87929500253428
1.05,2.3328752036372844,9.28030417982352
1.07,0.0,0.0
1.09,0.37454418407020584,3.7454418407020538
1.11,0.0,0.0
1.1300000000000001,0.0,0.0
1.15,0.0,0.0
1.17,0.0,0.0
1.19,0.0,0.0
1.21,0.0,0.0
1.23,0.0,0.0
1.25,0.0,0.0
1.27,0.0,0.0
1.29,0.0,0.0
1.31,0.0,0.0
1.33,0.0,0.0
1.35,0.0,0.0
1.37,8.939850232916617,14.974812578058442
1.3900000000000001,779.4992002369322,145.5975047085394
1.4100000000000001,17398.244091835702,341.44830586039956
1.43,7016.815511975197,374.56353745536495
1.45,96.0098812255554,43.855232442672644
1.47,2.7772323852824745,8.373670706914286
1.49,0.0,0.0
1.51,0.0,0.0
1.53,0.0,0.0
1.55,0.0,0.0
1.57,0.0,0.0
1.59,0.0,0.0
1.61,0.0,0.0
1.6300000000000001,0.0,0.0
1.6500000000000001,0.0,0.0
1.67,0.0,0.0
1.69,0.0,0.0
1.71,0.0,0.0
1.73,0.0,0.0
1.75,0.0,0.0
1.77,0.2306515031844768,2.306515031844775
1.79,0.0,0.0
1.81,0.0,0.0
1.83,0.0,0.0
1.85,0.0,0.0
1.87,0.0,0.0
1.8900000000000001,0.0,0.0
1.9100000000000001,0.0,0.0
1.93,0.4230602700896637,2.9763409870172155
1.95,2.512327142378621,6.837688406413558
1.97,63.20670761123853,33.503170803862744
1.99,7465.698878755663,317.96901694336964
2.01,9792.998079646793,322.7048896637369
2.0300000000000002,336.6580250766224,67.68075766016582
2.05,0.5974436497119892,3.4143229070975196
2.0700000000000003,0.0,0.0
2.09,0.0,0.0
2.1100000000000003,0.0,0.0
2.13,0.0,0.0
2.1500000000000004,0.0,0.0
2.17,0.0,0.0
2.1900000000000004,1.1185018099630808,4.449460908134565
2.21,493.4136615656823,121.7824386606854
2.2300000000000004,17866.11028991861,558.2526412136955
2.25,11749.707408968265,625.4511022158476
2.2700000000000005,283.0795043356354,63.886492040846065
2.29,0.5348294680827859,3.0564899386680855
2.31,0.0,0.0
2.33,0.0,0.0
2.3499999999999996,0.0,0.0
2.37,0.0,0.0
2.3899999999999997,0.0,0.0
2.41,0.0,0.0
2.4299999999999997,0.0,0.0
2.45,0.0,0.0
2.4699999999999998,0.0,0.0
2.49,0.0,0.0
2.51,0.0,0.0
2.5300000000000002,0.0,0.0
2.55,0.0,0.0
2.5700000000000003,0.0,0.0
2.59,0.0,0.0
2.6100000000000003,0.0,0.0
2.63,0.0,0.0
2.6500000000000004,0.0,0.0
2.67,0.0,0.0
2.6900000000000004,0.15176697421432203,1.517669742143221
2.71,0.0,0.0
2.7300000000000004,0.0,0.0
2.75,0.14845569477691778,1.4845569477691765
2.7700000000000005,0.0,0.0
2.79,5.267782717890637,7.059094445398726
2.81,844.5464849751514,125.05897783775171
2.83,9042.302601363195,185.44241558054048
2.8499999999999996,1540.6185061915323,107.58927147391455
2.87,16.50082461109288,8.747782605210528
2.8899999999999997,0.0,0.0
2.91,0.0,0.0
2.9299999999999997,0.0,0.0
2.95,0.0,0.0
2.9699999999999998,42.474823783395905,26.364498664123666
2.99,4071.062286802214,192.60506792544234
3.01,6665.241468438576,212.6538615161506
3.0300000000000002,327.54568762620215,61.77973793157029
3.05,0.2677069905813282,1.8833895426043312
3.0700000000000003,0.0,0.0
3.09,0.0,0.0
3.1100000000000003,0.1312711127448638,1.3127111274486376
3.13,34.0428354396593,19.077450966874892
3.1500000000000004,5488.607333268581,377.4961997455408
3.17,13815.827859181303,363.47980298233375
3.1900000000000004,963.810204624967,106.24814897822678
3.21,10.301715268398361,13.368901919981946
3.2300000000000004,0.0,0.0
3.25,0.0,0.0
3.2700000000000005,0.0,0.0
3.29,0.0,0.0
3.3100000000000005,0.0,0.0
3.33,0.0,0.0
3.3499999999999996,0.0,0.0
3.37,0.0,0.0
3.3899999999999997,0.0,0.0
3.41,0.0,0.0
3.4299999999999997,0.0,0.0
3.45,0.0,0.0
3.4699999999999998,0.0,0.0
3.49,0.0,0.0
3.51,0.0,0.0
3.5300000000000002,0.0,0.0
3.55,0.0,0.0
3.5700000000000003,5.031691615688286,6.566271219816513
3.59,2269.387207148311,159.98753763020525
3.6100000000000003,13092.034251359793,168.46167080818768
3.63,1631.213179579097,90.94656783025063
3.6500000000000004,14.428673348523676,12.033513613603077
3.67,0.0,0.0
3.6900000000000004,0.0,0.0
3.71,0.0,0.0
3.7300000000000004,0.0,0.0
3.75,0.0,0.0
3.7700000000000005,0.0,0.0
3.79,0.0,0.0
3.8100000000000005,0.0,0.0
3.83,0.0,0.0
3.8499999999999996,0.0,0.0
3.87,0.0,0.0
3.8899999999999997,0.0,0.0
3.91,0.0,0.0
3.9299999999999997,0.2077624227157871,1.4616636399346485
3.95,0.0,0.0
3.9699999999999998,18.613053419448473,11.102110313459534
3.99,2687.9224385768334,206.05693984367315
4.01,4865.950077960695,216.67261245540115
4.03,259.64090588373,36.2736086375873
4.050000000000001,0.7056227467791679,2.584921920491583
4.07,0.2006158037525957,1.4113852837698575
4.09,13.475348822966087,12.235370859936264
4.109999999999999,3239.00707105493,259.9688803585385
4.13,10506.439571770958,270.6626627924774
4.15,920.094412393573,69.51126836791299
4.17,12.041999702228804,9.923336774965163
4.1899999999999995,1.0717863405731924,3.064003671079844
4.21,3.1031119098263487,5.828121776160884
4.23,1413.0578073000568,133.21239079939815
4.25,5007.8734172858,116.35037651820964
4.27,445.3497007599289,49.000534999815464
4.29,2.9500811141567436,5.185068034218872
4.3100000000000005,0.5683338663153377,2.260862967242349
4.33,0.0,0.0
4.35,0.0,0.0
4.37,0.0,0.0
4.390000000000001,0.0,0.0
4.41,0.0,0.0
4.43,0.0,0.0
4.45,293.66704880843537,54.44741910693409
4.470000000000001,8702.64220680344,273.20093210939245
4.49,3886.679199235899,290.0009457253384
4.51,78.57289211363464,28.184915648869197
4.53,0.180244221031585,1.2680658068307802
4.550000000000001,0.08972596937066203,0.8972596937066217
4.57,0.089333295544099,0.893332955440989
4.59,0.0,0.0
4.61,0.0,0.0
4.63,0.0,0.0
4.65,0.0,0.0
4.67,0.08742037700996513,0.8742037700996528
4.6899999999999995,0.0,0.0
4.71,0.0,0.0
4.73,0.17262290090339044,1.2144478023135574
4.75,0.0,0.0
4.77,0.08558766470367268,0.8558766470367288
4.79,0.0,0.0
4.8100000000000005,0.0,0.0
4.83,0.0,0.0
4.85,0.0,0.0
4.87,0.0,0.0
4.890000000000001,0.0,0.0
4.91,0.0,0.0
4.93,0.0,0.0
4.95,0.0,0.0
4.970000000000001,25.300195870432255,20.47954015940656
4.99,5298.291519603571,544.403523560896
5.01,10961.801082232434,571.5475301788274
5.03,678.446952238722,67.4846503399014
5.050000000000001,4.769690391595002,6.407385567481028
5.07,27.21687737576883,15.890954524757094
5.09,4328.686606363862,330.7598968366143
5.11,6520.066622220634,343.31268051997694
5.13,315.3019536923892,46.2209873634617
5.15,1.8232665426485004,3.7122279906880595
5.17,0.0,0.0
5.1899999999999995,0.0786614953056864,0.7866149530568639
5.21,0.0,0.0
5.23,0.0,0.0
5.25,0.0,0.0
5.27,0.0,0.0
5.29,0.0,0.0
5.3100000000000005,0.0,0.0
5.33,0.0,0.0
5.35,3.128669081513471,4.351296372725821
5.37,1200.1274476365718,216.0220689362156
5.390000000000001,7958.664351369528,214.7983152329033
5.41,981.9205408877166,66.11200704998242
5.43,6.616257483612024,7.269822407882965
5.45,0.0,0.0
5.470000000000001,0.0,0.0
5.49,0.0,0.0
5.51,0.0,0.0
5.53,0.0,0.0
5.550000000000001,0.0,0.0
5.57,0.0,0.0
5.59,0.0,0.0
5.61,0.0,0.0
5.63,15.372943171393535,9.792968026279397
5.65,2076.1660291272487,179.8722239596353
5.67,2457.799230745671,190.1160298971282
5.6899999999999995,94.13499942972145,22.442072274407106
5.71,0.6434813390068004,2.056448325431055
5.73,0.0712483700936326,0.7124837009363241
5.75,0.07100054967591839,0.7100054967591841
5.77,0.07075444725069695,0.7075444725069716
5.79,0.2820401800597752,1.3886698511854862
5.8100000000000005,181.78157083763617,51.59374347577184
5.83,6218.612980646248,189.59525795106495
5.85,2495.7178684927976,217.77455407714086
5.87,37.97380335733384,12.79064730726492
5.890000000000001,0.06931293049855962,0.6931293049855962
5.91,0.0,0.0
5.93,0.0,0.0
5.95,0.0,0.0
5.970000000000001,9.505391847315899,8.633310591052192
5.99,1422.6157298775188,169.06069953835728
6.01,2988.1957631281416,178.75192146679845
6.03,194.64806580929485,27.24128181072493
6.050000000000001,9.379700715450566,7.902972630088067
6.07,1818.1053440406508,285.8596634500444
6.09,6417.0827260969,270.0197249014579
6.11,567.545392217146,45.45495466885601
6.130000000000001,4.528746317011947,4.527875655403014
6.15,0.06638262774577776,0.6638262774577786
6.17,0.0,0.0
6.1899999999999995,0.0,0.0
6.21,0.0,0.0
6.23,0.06553020234935962,0.6553020234935953
6.25,0.0,0.0
6.27,0.06511214683198031,0.651121468319803
6.29,4.024117004684406,5.2817858088064416
6.3100000000000005,1092.3198274209537,192.3410612837403
6.33,6185.196621068751,158.34365950691497
6.35,828.1431436470833,84.43520243137615
6.37,7.049897593409509,7.756334445305613
6.390000000000001,1306.0906671192822,210.40577367648132
6.41,5797.449641201475,193.30787131189192
6.43,616.6971927313374,78.99093950846989
6.45,6.645981684780751,7.60046742837067
6.470000000000001,0.0,0.0
6.49,0.0,0.0
6.51,0.0,0.0
6.53,0.0,0.0
6.550000000000001,0.0,0.0
6.57,0.0,0.0
6.59,0.061950403738468614,0.619504037384687
6.61,0.0,0.0
6.630000000000001,0.0,0.0
6.65,0.0,0.0
6.67,0.9181105561541166,2.196550623570572
6.6899999999999995,355.03989365968425,77.69257562791327
6.71,5488.236676908812,105.53802056049015
6.73,1431.6764998784843,157.85347507488927
6.75,10.040003654172729,8.074333995804805
6.77,0.0,0.0
6.79,0.0,0.0
6.8100000000000005,0.0,0.0
6.83,0.0,0.0
6.85,0.0,0.0
6.87,0.0,0.0
6.890000000000001,0.05925299864100264,0.5925299864100242
6.91,0.0,0.0
6.93,0.058910989990840455,0.5891098999084036
6.95,0.4111902337346315,1.5063214069051973
6.970000000000001,5.154415801436687,5.78465961280562
6.99,1115.3663245602093,157.50185720206105
7.01,2436.0075896011595,150.69726514062953
7.03,160.7460524383978,26.527514783744014
7.050000000000001,274.65882849630714,74.46075156108907
7.07,7020.972707540892,258.0448056808455
7.09,3062.3593571412944,317.2147348015185
7.11,51.56277612540244,17.118819909284536
7.130000000000001,0.5153265702284269,1.646889191894931
7.15,0.1712950324349091,0.9789317425944121
7.17,1.4234768501970916,2.8469537003941787
7.1899999999999995,114.29952884023814,34.952202300630866
7.21,4251.948174551788,208.8480575057576
7.23,2036.409679833414,230.84975079602881
7.25,39.75541122888105,13.742553000030655
7.27,1816.4177075583002,341.77151893555833
7.29,4517.945642572316,336.9432550402437
7.3100000000000005,255.45143047214958,34.028079102151054
7.33,0.5012658179711912,1.6019536068501115
7.35,0.0,0.0
7.37,0.0,0.0
7.390000000000001,0.0,0.0
7.41,0.0,0.0
7.43,0.0,0.0
7.45,0.0,0.0
7.470000000000001,0.0,0.0
7.49,0.0,0.0
7.51,0.0,0.0
7.53,0.0,0.0
7.550000000000001,0.0,0.0
7.57,0.0,0.0
7.59,24.85019238657084,8.261699904817117
7.61,2750.370964456476,324.6843965432693
7.630000000000001,3128.246531666312,329.39232960836006
7.65,85.49301481564953,21.305832981156367
7.67,0.3193636197938965,1.2704458134048038
7.6899999999999995,0.0,0.0
7.71,0.05295112329916161,0.5295112329916156
7.73,0.10562824337296757,0.7431226526446499
7.75,0.31606696307344373,1.2573315340406281
7.77,1.3135558579038462,2.4054702501025718
7.79,119.4887299424009,29.221924102981014
7.8100000000000005,3838.52062635855,189.85358921531758
7.83,1636.7666945979947,206.32353454140988
7.85,19.346519204685862,9.611771084624811
7.87,0.15562382235191646,0.889372548862763
7.890000000000001,0.10348622576337659,0.7280529917545193
7.91,0.0,0.0
7.93,0.25741056786665595,1.1276792153205233
7.95,0.0,0.0
7.970000000000001,3.7393325880133066,4.479507417491811
7.99,839.2949207278704,145.10380993617972
8.01,2035.0986830282409,139.1678060406647
8.030000000000001,161.01341964331255,27.790961519910887
8.05,2083.9675623448375,420.2518635636021
8.07,8310.253618062547,360.68147993054237
8.09,796.1188952041828,102.87692130223199
8.11,4.27885556770696,6.68805285093032
8.13,0.05021564091470247,0.5021564091470246
8.15,0.10018482469608178,0.7048267613427404
8.17,0.14990936131084542,0.8567150501285292
8.19,0.2492388038073994,1.0918798751516279
8.21,0.2486316447238154,1.0892199972584042
8.23,448.73123828896286,130.97537741508225
8.25,4103.265918402449,76.39940828377777
8.27,881.1752016157257,126.45017314476398
8.29,4.185949174198097,5.702623411481277
8.31,0.0,0.0
8.33,0.0,0.0
8.35,0.048892594088208216,0.48892594088208213
8.370000000000001,0.0,0.0
8.39,0.0,0.0
8.41,0.09708755306457267,0.6830366355461664
8.43,0.4842860743019339,1.4601774542306276
8.45,2.174129257827507,2.511407243899458
8.47,200.65618745335212,54.79664312676973
8.49,1865.125481932787,36.84817723137314
8.51,364.1176838109674,52.66043200656853
8.530000000000001,600.9409947188484,142.31572913642285
8.55,3850.233170517862,78.44882045852839
8.57,542.1621028243098,98.92391238126719
8.59,770.9283490902411,212.9766532212702
8.61,3641.229380343637,170.9976067435967
8.63,352.1006111955657,51.55138900591504
8.65,1.3687100183190273,3.095634448905253
8.67,0.04708802314146748,0.470880231414675
8.690000000000001,0.0,0.0
8.71,0.0,0.0
8.73,0.0,0.0
8.75,0.0,0.0
8.77,0.046551101554906944,0.46551101554907015
8.79,0.0,0.0
8.81,0.0,0.0
8.83,0.0,0.0
8.85,0.0,0.0
8.870000000000001,0.04602628643027006,0.46026286430270014
8.89,0.0,0.0
8.91,0.7789342009900169,1.9597175390714778
8.93,460.644887634235,138.39556367890236
8.95,3512.7105468487057,71.19865883354345
8.97,553.0760767062463,91.19509376420797
8.99,666.737809173047,134.85166224152968
9.01,1703.6526733377107,135.95851270893345
9.030000000000001,156.33880725149572,26.30870874725402
9.05,2222.8820711078997,280.0009813773933
9.07,2485.933165247529,285.2373116123335
9.09,80.9320347048445,17.34144844282569
9.11,1.209970948099366,2.5362479114468726
9.13,0.17886228286376313,1.086044459550968
9.15,0.22308915881777344,0.977321986611142
9.17,1.5582181703684859,2.8563171614762526
9.190000000000001,15.770388686175934,8.045833236741208
9.21,2325.757527934587,481.13434340796897
9.23,5991.634847903156,460.7555028097773
9.25,379.1237459316586,51.51813145954044
9.27,0.9248453477202772,2.008447100418878
9.29,0.0,0.0
9.31,0.0,0.0
9.33,0.0,0.0
9.35,0.0,0.0
9.370000000000001,0.2178512063161694,0.954375259070589
9.39,1.1304134373322143,1.9166768613116048
9.41,24.339003519351408,12.284999599781447
9.43,2008.3198164123407,253.72758722208735
9.45,1986.70244425296,254.91125861381005
9.47,268.18826951636004,66.25341774520136
9.49,3148.4535371449606,85.86168124253973
9.51,799.5494339490416,128.445458549238
9.530000000000001,6.382971766509849,4.61688540061616
9.55,0.04274902205618167,0.4274902205618168
9.57,0.0,0.0
9.59,0.0,0.0
9.61,0.0,0.0
9.63,0.04239388999341047,0.42393889993410433
9.65,0.0,0.0
9.67,0.04221852747016872,0.4221852747016876
9.690000000000001,0.0,0.0
9.71,0.0,0.0
9.73,0.0,0.0
9.75,0.04187211903964507,0.4187211903964514
9.77,0.0,0.0
9.79,0.041701037858680685,0.4170103785868081
9.81,0.1248480613567416,0.7134925544903408
9.83,104.99125026339317,51.644007667748355
9.85,2672.9598561026114,132.2467048972217
9.870000000000001,1038.3776438316613,174.0446948092924
9.89,448.5418446386879,119.93104487429359
9.91,1314.0313889831732,103.34571393508665
9.93,78.44380971747458,19.70138767797543
9.95,2.0104929518782404,2.574930403543341
9.97,8.517217393420117,4.4202254804644
9.99,1516.0536289583679,328.4563001659232
