r,g_sim,uncertainty
0.01,0.0,0.0
0.03,183428.14507399057,7383.79173984917
0.05,52174.753929347906,3729.0824183228638
0.07,19485.34013838043,1904.9559782592676
0.09,6613.701202311702,1556.9897643907552
0.11,4067.686036887558,1014.5843925613996
0.13,2389.8511941876563,682.6436784867304
0.15000000000000002,1208.4293554841145,397.0005627345251
0.16999999999999998,641.1976111173656,323.9156638920976
0.19,326.6025285092194,243.32784747680458
0.21000000000000002,246.89595905161315,170.00797198766733
0.22999999999999998,188.1514566411811,148.87216477811248
0.25,153.50318839933314,140.84091556002488
0.27,33.26507234816128,82.06197292776025
0.29000000000000004,8.446617116617773,39.10755274864762
0.31,18.437239512617246,45.926516744816304
0.33,69.27932422922846,83.07304152921914
0.35,86.31638253457977,83.91671498220322
0.37,78.34047136538726,70.65123534811623
0.39,122.47594819095713,90.57028992651955
0.41000000000000003,314.6536555149812,138.46641382448485
0.43,807.9614876783309,226.0065691745934
0.45,1198.4498337796658,254.4215272694119
0.47,1526.1719217837774,341.53261720799406
0.49,2010.4385237059894,262.31250244456396
0.51,1951.6102071212683,320.76002972722034
0.53,1586.7953036061174,230.43739109935166
0.55,1252.966063917189,268.0022061209906
0.5700000000000001,769.2349026730341,221.54763444918177
0.59,496.8233378593644,162.9112854312547
0.61,412.26876549524405,179.15954840328857
0.63,361.5956565637796,114.73720876651258
0.65,325.97444672362525,141.6285776641325
0.67,327.2118615847963,102.34824452997428
0.6900000000000001,352.6360633903894,114.66765228489731
0.71,294.9772836711807,106.13734458383554
0.73,242.714892761989,100.300455629391
0.75,258.01599752228356,102.23807994750192
0.77,331.3743186984772,105.06460551414004
0.79,277.5087940022957,112.99460471227509
0.81,269.144676271487,86.32869055630434
0.8300000000000001,267.57797516418213,107.4729333996731
0.85,285.77721244556744,112.25127864316987
0.87,275.4535693030344,90.14123130621711
0.89,373.3910929866636,107.72938503483556
0.91,470.61270934913705,95.54080589024254
0.93,581.6510084337572,138.02726970049508
0.95,838.4230698966994,133.75049326224692
0.97,1050.936228978767,171.87073063441244
0.99,1339.400268431748,156.77994608478036
1.01,1496.3893076004126,169.74919737237147
1.03,1477.6386241290884,141.3001655094217
1.05,1085.1757822252762,131.3706623173568
1.07,683.3471128037546,145.82797924715302
1.09,603.3906805371015,137.06381948455598
1.11,439.1479944144245,89.91201771581011
1.1300000000000001,266.2677693709011,108.8900572653317
1.15,280.09716847149656,87.67122522995389
1.17,435.47003801229425,83.79709023859024
1.19,509.11570620554807,110.41297812656246
1.21,628.9123069640356,131.29046873506852
1.23,881.8932096026379,141.78393713378523
1.25,1064.0710378830383,123.44739449654149
1.27,1015.4895546856574,132.5091172721648
1.29,914.930145271467,127.31490679996207
1.31,978.2493673572915,136.44723506518412
1.33,956.478833491285,112.40037689554673
1.35,865.7991102980529,114.98602015841317
1.37,950.3060797590364,118.20772171916393
1.3900000000000001,1086.7170462986621,156.2540287023988
1.4100000000000001,1193.4890270523188,129.13184267954162
1.43,1013.2101168524682,148.1789846348671
1.45,952.4968568505996,126.6790312854971
1.47,818.1726607042174,116.79327956409936
1.49,855.1396740581165,100.97657327266877
