r,g_sim,uncertainty
0.01,0.0,0.0
0.03,364610.89776448044,3766.7895684883415
0.05,44213.81729693571,2060.9648439632256
0.07,9034.059226085388,788.5717384413696
0.09,748.4641278336292,244.44906105040621
0.11,40.82531606365252,128.0784832151129
0.13,12.56163571189307,61.84921875664592
0.15000000000000002,43.547003801229366,100.28138736503439
0.16999999999999998,19.211913441718842,65.47898581910152
0.19,92.3941363545819,115.30734330832772
0.21000000000000002,219.67908167584474,137.20191241181726
0.22999999999999998,227.20175896293543,142.89475889220418
0.25,135.5400493313262,122.93968160991608
0.27,83.16268087040318,84.26956542067649
0.29000000000000004,40.82531606365258,64.20105041683843
0.31,21.07113087156257,48.52325195082296
0.33,40.82531606365248,58.46452018191226
0.35,45.49106647092721,57.179602911183075
0.37,0.0,0.0
0.39,2.093605951982176,14.729072063956952
0.41000000000000003,73.68471679781204,68.78330603264779
0.43,200.3288764983876,87.34531150108396
0.45,182.3530784176477,73.50598693830884
0.47,91.2054933336919,49.95969203426391
0.49,372.4268628663802,67.46393717764747
0.51,589.165345546043,95.54609278201062
0.53,343.5488861205477,84.39513463257109
0.55,190.0232893144553,54.12615902432622
0.5700000000000001,176.90970294249473,85.4492017827257
0.59,192.3633536558544,102.48253586680747
0.61,261.6835832932474,95.17071084603178
0.63,101.73927971418156,72.0870376309359
0.65,84.16295926968354,70.41717579590689
0.67,221.18790643441557,66.89221523844678
0.6900000000000001,126.02597567475317,62.73789730755294
0.71,47.725369482861616,43.28862028518194
0.73,65.43235588284038,49.035426744079686
0.75,88.18268269748937,35.268619805846335
0.77,134.6705231190611,54.03837330780189
0.79,158.13350272756492,56.80977500480983
0.81,13.104422440184763,22.219253984834836
0.8300000000000001,113.13039391132719,52.550044451974706
0.85,295.8634670024697,79.52981202632023
0.87,473.94907154355116,75.01583820968185
0.89,320.18056867898173,68.99334179177669
0.91,490.80105245753725,69.21417920715297
0.93,676.4710973557882,55.84016726400107
0.95,912.7681191494561,94.64932437912745
0.97,1153.6308384584706,124.78065706580556
0.99,1696.1063128262865,122.1980010141649
1.01,1772.0612437926006,104.32255812932623
1.03,1714.6632746733999,119.98745135689856
1.05,919.15283023309,97.06872349837602
1.07,466.62954715744985,96.07440519535051
1.09,401.51136532326046,65.86575661598424
1.11,292.7653296096161,77.17071472409843
1.1300000000000001,255.42918988497578,49.054273420133185
1.15,123.54095643609732,35.849969371539345
1.17,151.43749719337782,46.0516402888635
1.19,237.74742884127008,42.018722659936586
1.21,383.2856119694979,83.5478431341988
1.23,375.7256730410936,51.43707248499685
1.25,406.29354546546926,47.41335991472734
1.27,260.0604779172828,43.36841798776047
1.29,204.75953095490814,44.85910006208925
1.31,257.7292853789362,61.033275790182465
1.33,457.67328008199837,81.74997670129714
1.35,753.0002740629242,75.6177088321013
1.37,837.0679768087592,83.332645618669
1.3900000000000001,1361.9207955910533,103.07520944014492
1.4100000000000001,1700.475753488177,123.65647076497713
1.43,1836.5682394229173,102.17729109193421
1.45,1451.4103745388247,95.74129164139504
1.47,966.4768700783014,107.59795774922803
1.49,557.3066635803297,81.89546966621214
1.51,505.5850399935776,57.8341173775992
1.53,394.64472194864123,38.731763344697214
1.55,142.23013338304696,32.420961445015934
1.57,170.58221234239466,42.03007372089222
1.59,205.92392127703937,62.360039842924714
1.61,221.36957095384253,37.77556723375546
1.6300000000000001,308.06833594044605,50.40766034540946
1.6500000000000001,188.29130620872522,27.66755587114644
1.67,172.34639416093032,34.81154225066094
1.69,140.35212208865124,42.70496693944785
1.71,242.80319553645967,30.171403802001127
1.73,305.59990926259934,56.06277920925604
1.75,350.16456806595716,34.696530663482456
1.77,417.7098722670878,23.843005588345072
1.79,349.18189325950806,51.53143655821567
1.81,260.966246882022,36.44786193855358
1.83,219.29664311787118,31.398632844010233
1.85,316.6720462234657,38.590668857340496
1.87,270.27669137327103,53.18589390562806
1.8900000000000001,403.50100744393274,52.00143018757556
1.9100000000000001,411.45933729074136,66.5167895316549
1.93,625.0715490574786,61.790078873818345
1.95,784.4741502077248,82.54370489697853
1.97,917.0153481302627,85.18463198095066
1.99,1402.831714790229,76.74879234713708
2.01,1733.3494889910974,115.1946835881425
2.0300000000000002,1989.1783309634839,72.8257641256068
2.05,1116.821329194946,76.35602552777404
2.0700000000000003,865.2205873006869,106.54637618841554
2.09,577.4145181060157,111.10145179567932
2.1100000000000003,622.4409562880068,46.18611178387856
2.13,743.480755919761,49.883956443539766
2.1500000000000004,828.6589734966465,56.83882620165423
2.17,961.1822109179742,59.73912151839036
2.1900000000000004,1281.0574063443821,105.788363258847
2.21,1391.5706149660373,62.744209448796575
2.2300000000000004,1579.372204848119,69.18106769325911
2.25,1099.9247376793758,103.31233794568021
2.2700000000000005,869.0217058130816,85.73421912666618
2.29,804.9183494645927,67.01106586521047
2.31,636.0619589311141,54.02173115789962
2.33,423.1465162820661,46.08101726316849
2.3499999999999996,379.0674027697419,36.73908073956575
2.37,258.5603350697989,41.00541128484182
2.3899999999999997,244.78107915989082,28.835221902439077
2.41,124.00054505640504,38.889316165180965
2.4299999999999997,152.54891763702236,31.830243089827494
2.45,242.11911934892726,35.562379114527154
2.4699999999999998,365.94028244909373,37.22066820607717
2.49,376.44548466725496,39.05880383213589
2.51,439.31943700368487,25.690817376250262
2.5300000000000002,342.4162873006764,25.393130437870454
2.55,205.4073745477099,25.44704196704265
2.5700000000000003,222.23586448657508,33.904886207707314
2.59,300.1212424138775,41.245425757609944
2.6100000000000003,283.9001864196523,35.10855097913478
2.63,356.09610285178246,34.87263865502776
2.6500000000000004,271.75795296710595,35.61314592881022
2.67,437.1519798725905,36.436970008599474
2.6900000000000004,527.9973032916264,37.005486489603484
2.71,552.422265702631,30.95907276065386
2.7300000000000004,446.98487074819735,60.41458120879824
2.75,488.7161472056134,41.59971539430261
2.7700000000000005,522.0334638897368,60.39412999491145
2.79,808.4583198984947,48.39180832368777
2.81,874.4753643670114,48.459195844780936
2.83,914.8910052144261,79.25779396474402
2.8499999999999996,833.4094345906408,94.98378228273916
2.87,720.9153373191276,53.143037011933025
2.8899999999999997,748.6995679493333,49.95447947093947
2.91,664.5688047887426,69.32424424470705
2.9299999999999997,609.87170106009,50.212962957432126
2.95,531.1442815332132,28.010283185109436
2.9699999999999998,514.9213265132729,52.69423763716023
2.99,814.1851494567206,70.95212900392639
3.01,1340.8607129743136,77.20854178404676
3.0300000000000002,1330.9322510784152,53.98251851864067
3.05,1166.1316509722647,51.62363942222733
3.0700000000000003,904.939009163374,68.86291420351125
3.09,1071.6315164798764,64.96755206471737
3.1100000000000003,1052.9255953265526,48.37784378658428
3.13,1391.5824187958785,56.98078486898161
3.1500000000000004,1388.1903503421518,76.1061592496167
3.17,1554.3240995969225,65.19980669403326
3.1900000000000004,1357.0898167365754,84.51903852515296
3.21,1079.009288112243,58.091583869052144
3.2300000000000004,768.9821143382667,50.6125356549621
3.25,576.9559282472537,33.98214506309192
3.2700000000000005,419.6143342199859,45.58443984288506
3.29,293.3466479467296,32.784431243767706
3.3100000000000005,254.2023456410529,30.10458654188188
3.33,247.15867022319605,19.769957615552933
3.3499999999999996,255.1886920516098,39.945189151812656
3.37,294.62067853650666,32.34525487933539
3.3899999999999997,308.5382293660108,38.571369020011524
3.41,358.92755882354885,38.803053007998265
3.4299999999999997,297.4415884637538,22.72821997407956
3.45,312.1657500751131,49.632035177750744
3.4699999999999998,261.18790104123525,55.0569466376698
3.49,286.24512437752986,27.343180958078094
3.51,397.0872622259544,39.538978641022474
3.5300000000000002,495.8020678891693,40.82003562688874
3.55,559.1343287365605,49.22090215713817
3.5700000000000003,928.1183898392305,42.063496895218854
3.59,1078.5161491578765,44.109183255361295
3.6100000000000003,1260.269590618687,53.96887439603498
3.63,1087.5504306763562,53.74717156280398
3.6500000000000004,728.4802288289516,35.214555122694705
3.67,441.9590755337675,31.616381070454366
3.6900000000000004,364.4406263243109,25.78287709797766
3.71,266.8501117368117,19.80712221406311
3.7300000000000004,222.84274398283193,26.923470323811554
3.75,276.7412091568119,23.425239834480717
3.7700000000000005,329.9595173632637,29.181517374234318
3.79,374.9681404157632,33.00439271094957
3.8100000000000005,334.53185498877446,29.239360064319705
3.83,299.1014017613844,35.5899108937935
3.8499999999999996,303.2737764728472,26.66480398287602
3.87,258.03287620592783,23.916169092870234
3.8899999999999997,287.2465040262652,29.596151438800526
3.91,499.9273997769022,31.386286765743666
3.9299999999999997,552.1286383672043,30.772786008009604
3.95,637.8051276678497,35.66122345097418
3.9699999999999998,775.2696670122767,54.097860505062755
3.99,1005.6943147610089,49.40972852664679
4.01,1133.8442518725442,54.25277467998579
4.03,1160.9382682120734,61.34232388896355
4.050000000000001,1112.8678749202875,61.658424605902525
4.07,1085.7327299090477,49.983848291823996
4.09,1074.2348446871188,46.011469339366386
4.109999999999999,1120.957887538485,42.00962083209716
4.13,1102.0858324301823,46.58794283523907
4.15,1084.4777934595056,50.80255618803544
4.17,1069.1925101466725,49.69311596967576
4.1899999999999995,1122.8423444332245,62.93403532835165
4.21,1121.2900941663147,78.90898909503058
4.23,1043.2171189882054,57.10810817362463
4.25,962.1326251613103,47.42870660925603
4.27,931.1422790255353,40.3330582539854
4.29,792.9056723598061,25.119076521198572
4.3100000000000005,571.9333141353349,31.33727079344662
4.33,456.6212602685254,29.52052449206213
4.35,536.3601869052184,43.906326643347825
4.37,559.2227504737456,27.34252954589075
4.390000000000001,613.4956949246271,52.647325628776855
4.41,628.950560853649,31.901459011647404
4.43,838.1630916454046,37.24171454564479
4.45,1192.190971341961,31.00525057947243
4.470000000000001,1246.1311238757648,31.859068606175487
4.49,901.6121026440647,50.69444987488558
4.51,746.3519533144214,51.66345451192898
4.53,679.9713238416547,31.176482563512334
4.550000000000001,543.3804705087292,33.53166511695826
4.57,413.9704915513547,36.319996798874406
4.59,386.99553418943384,29.007573158977646
4.61,363.4427269527832,32.064288729723536
