r,U
0.01,50.0
0.03,19.775024407073985
0.05,20.977959023048676
0.07,20.249583227811975
0.09,18.5436374090759
0.11,16.537756517851058
0.13,14.56518896065998
0.15,12.771367692929877
0.1699999999999999,11.205044281665007
0.19,9.84557918593259
0.21,8.63455390890605
0.2299999999999999,7.515323301100123
0.25,6.466203003923901
0.27,5.4996423689210445
0.29,4.63692595715186
0.31,3.891081907359439
0.33,3.2921553303946274
0.35,2.931510951424234
0.37,2.9387807089194817
0.39,3.3662975141974316
0.41,4.104820577503915
0.43,4.9457814051034426
0.45,5.717007140048141
0.47,6.343654315940324
0.49,6.8132739759030105
0.51,7.1285975646586035
0.53,7.297264803424962
0.55,7.339566101582232
0.5700000000000001,7.2861593626959635
0.59,7.16756613694387
0.61,7.00842849197427
0.63,6.829101386257189
0.65,6.645899320428196
0.67,6.46960156193594
0.6900000000000001,6.308302333903091
0.71,6.17202866361834
0.73,6.070244479020165
0.75,6.005292833821175
0.77,5.974288781135275
0.79,5.978924530449897
0.81,6.025877341415059
0.8300000000000001,6.110277496914769
0.85,6.200709749617559
0.87,6.246446452749236
0.89,6.196405995168098
0.91,6.008158121637836
0.93,5.645995962968735
0.95,5.098452785782602
0.97,4.43457553964941
0.99,3.8470313875408415
1.01,3.5807546494654936
1.03,3.7560168112830015
1.05,4.268709409739309
1.07,4.890363062877011
1.09,5.442895997692883
1.11,5.8680974218091
1.13,6.185074053006812
1.15,6.430715416891639
1.17,6.629734638072556
1.19,6.786788542212218
1.21,6.889896485313059
1.23,6.922041209623254
1.25,6.872014898609725
1.27,6.738712988008816
1.29,6.5236745427533425
1.31,6.218174837948064
1.33,5.797939530694697
1.35,5.248830355465161
1.37,4.631199330340722
1.39,4.126170102228171
1.41,3.964419629134005
1.43,4.2498209339232
1.45,4.862024043460924
1.47,5.559349999803414
1.49,6.155717186053602
1.51,6.590601053797366
1.53,6.885550036267121
1.55,7.08401950259486
1.57,7.221892731162987
1.59,7.320207514895005
1.61,7.387919701379333
1.63,7.431121141497439
1.65,7.460567896095409
1.67,7.492016499933619
1.69,7.538268582152938
1.71,7.600387803216677
1.73,7.665965475724544
1.75,7.715606936078512
1.77,7.7323280612081415
1.79,7.707680559374806
1.81,7.641512247402092
1.83,7.5360472108350205
1.85,7.388339662992948
1.87,7.18676068228344
1.89,6.910567337095182
1.91,6.531034839056785
1.93,6.0159939641455065
1.95,5.355066250033092
1.97,4.616123077280529
1.99,3.984281934371346
2.01,3.6896161276556683
2.03,3.8346356609323653
2.05,4.299382972551028
2.0700000000000003,4.841153391891218
2.09,5.265367585683952
2.1100000000000003,5.489123309777954
2.13,5.494792954606069
2.1500000000000004,5.276285935606891
2.17,4.84331214066869
2.1900000000000004,4.280675710563203
2.21,3.7934031364170657
2.2300000000000004,3.6358202035534744
2.25,3.9324994815116074
2.2700000000000005,4.576044178360938
2.29,5.326764608536724
2.31,5.992065320802755
2.33,6.501969625977544
2.35,6.86940005538767
2.37,7.132311175688292
2.39,7.328023791486066
2.41,7.487582849053574
2.43,7.631137876612927
2.45,7.763953035755195
2.47,7.877949386641241
2.49,7.961136671018734
2.51,8.00787426493113
2.53,8.023499709290263
2.55,8.020896659073955
2.5700000000000003,8.01161023874035
2.59,7.998159518875248
2.6100000000000003,7.972979052153608
2.63,7.922560492742397
2.6500000000000004,7.83081524910979
2.67,7.679025321661234
2.6900000000000004,7.446285545854073
2.71,7.111041828101717
2.7300000000000004,6.652028876009895
2.75,6.048812358438196
2.7700000000000005,5.30050607759337
2.79,4.478067963927371
2.81,3.764493628959248
2.83,3.3863046520221145
2.85,3.441579173399858
2.87,3.8016524687872604
2.89,4.207037886650259
2.91,4.4402297987102095
2.93,4.40126400784148
2.95,4.0913164828058335
2.97,3.6078379025523004
2.99,3.154317735146093
3.01,2.9651612568143113
3.03,3.1398989370586765
3.05,3.552662526144422
3.0700000000000003,3.950618004448888
3.09,4.126558232883189
3.1100000000000003,4.010402873332591
3.13,3.685293104255993
3.1500000000000004,3.3731861716649325
3.17,3.339896421703786
3.1900000000000004,3.717302852925031
3.21,4.4060402495787105
3.2300000000000004,5.1773752696698025
3.25,5.850196956642584
3.2700000000000005,6.363850955754524
3.29,6.736413657308269
3.3100000000000005,7.005031564513692
3.33,7.19867823728125
3.35,7.334048989994608
3.37,7.417454982745754
3.39,7.448240271988606
3.41,7.421855879344374
3.43,7.333291906972756
3.45,7.178245850888578
3.47,6.951933156712565
3.49,6.644379385928518
3.51,6.235866224737082
3.53,5.698955548443424
3.55,5.024563758775704
3.5700000000000003,4.280914126337883
3.59,3.6556613490660945
3.61,3.3859352034260093
3.63,3.585303684768755
3.65,4.145886411996202
3.67,4.836324637385625
3.69,5.473847678874934
3.71,5.992204593829236
3.73,6.397552388161875
3.75,6.709265228595818
3.770000000000001,6.936334201180156
3.79,7.0791060444558145
3.810000000000001,7.135891531472387
3.83,7.106516791706996
3.85,6.9902053712494165
3.87,6.7818591336086715
3.89,6.466529610341503
3.91,6.016142290660289
3.93,5.394151451004184
3.95,4.583409001441025
3.97,3.643338924634806
3.99,2.7482492823534246
4.01,2.1139234348825555
4.03,1.8245380023603515
4.050000000000001,1.7387599847253448
4.07,1.610713617545212
4.09,1.3172353572977782
4.109999999999999,0.9681770652737614
4.13,0.7931401780789127
4.15,0.9084435837935478
4.17,1.196135372523301
4.19,1.4244384300389692
4.21,1.4808730920684816
4.23,1.4856876151541174
4.25,1.6810564330281803
4.27,2.2032542873849126
4.29,2.962042653671376
4.3100000000000005,3.734767850033201
4.33,4.337960526692337
4.35,4.695844542609086
4.37,4.798953620684463
4.390000000000001,4.652972016749036
4.41,4.280573125544985
4.43,3.7753891918445577
4.45,3.3437159752075933
4.470000000000001,3.236423413021244
4.49,3.577324276251767
4.51,4.265058522130563
4.53,5.069262093775688
4.550000000000001,5.803395550126517
4.57,6.39701768879158
4.59,6.856726479958043
4.61,7.209706256423367
4.63,7.478858390977045
4.65,7.67960544518011
4.67,7.821763201335829
4.69,7.912817977716086
4.71,7.960192373287615
4.73,7.97244283682919
4.75,7.957778260175134
4.77,7.920380322996733
4.79,7.856373343893246
4.8100000000000005,7.752705540391341
4.83,7.590044357877295
4.85,7.3465597668587375
4.87,7.000325866141033
4.890000000000001,6.528372759631948
4.91,5.904276920598402
4.93,5.0979804512864035
4.95,4.097079630064329
4.970000000000001,2.9608614768890558
4.99,1.8603690697462403
5.01,1.0107051641199307
5.03,0.5199402266630813
5.050000000000001,0.34537575326124603
5.07,0.4326304628569666
5.09,0.8211115844739822
5.11,1.5439374779230963
5.13,2.4897281647000185
5.15,3.4433727866647716
5.17,4.235253472050646
5.19,4.809561513569692
5.21,5.182767443644883
5.23,5.3838777712302015
5.25,5.429048659274304
5.27,5.321423354055172
5.29,5.054691284011152
5.3100000000000005,4.6168680127806105
5.33,4.012822340499305
5.35,3.321752315338524
5.37,2.7395269494675034
5.390000000000001,2.5077438423190657
5.41,2.7381611475233285
5.43,3.3131565673288366
5.45,3.984901160330395
5.470000000000001,4.551443265061236
5.49,4.928992774355855
5.51,5.110641979749245
5.53,5.106010367769361
5.550000000000001,4.913921938927496
5.57,4.522174340516791
5.59,3.9329679835462237
5.61,3.2201075715318064
5.63,2.5700891933450194
5.65,2.215408411470821
5.67,2.2655057760016
5.69,2.608651731645109
5.71,3.002775551676981
5.73,3.241357781718972
5.75,3.2249378830729247
5.77,2.945514596848164
5.79,2.4875675536855173
5.8100000000000005,2.045883575297119
5.83,1.8546349457295461
5.85,2.0179580557645105
5.87,2.415194105541338
5.890000000000001,2.7976852929325284
5.91,2.9587660154264013
5.93,2.802637825723563
5.95,2.3232308047537815
5.970000000000001,1.5994172938292168
5.99,0.8103637510407813
6.01,0.1709944178157583
