r,U
0.01,50.0
0.03,18.727048219810776
0.05,19.57657513856033
0.07,18.621275125304095
0.09,16.862673580907547
0.11,14.948945680127268
0.13,13.128319614598029
0.15,11.452751120026859
0.1699999999999999,9.905965733748888
0.19,8.436907381972691
0.21,6.98595795319191
0.2299999999999999,5.539152899399934
0.25,4.184047898943412
0.27,3.0711618387419026
0.29,2.2906391549076632
0.31,1.8157084303482378
0.33,1.590958584864846
0.35,1.6215837748378377
0.37,1.9373250430138427
0.39,2.522025267594013
0.41,3.30732183402679
0.43,4.182469300629075
0.45,4.9976797665502755
0.47,5.613247306445457
0.49,5.968484879192536
0.51,6.090749147210191
0.53,6.051073321863489
0.55,5.922655501857738
0.5700000000000001,5.760700397102044
0.59,5.592389314603723
0.61,5.419440600976767
0.63,5.236994317800201
0.65,5.05318013641307
0.67,4.889711768945187
0.6900000000000001,4.763479092464982
0.71,4.672753285495421
0.73,4.604231803601534
0.75,4.550082142030069
0.77,4.515443748681463
0.79,4.513321077133423
0.81,4.5548164023348345
0.8300000000000001,4.638348307024364
0.85,4.740918592532335
0.87,4.8197224197591915
0.89,4.82254056594665
0.91,4.697237472436127
0.93,4.396689232764961
0.95,3.9006455491951844
0.97,3.2721307380827787
0.99,2.7001968787810293
1.01,2.429053192008129
1.03,2.580722674828876
1.05,3.05382199705884
1.07,3.623011426512818
1.09,4.114677487482892
1.11,4.4761850178307885
1.13,4.731041612670115
1.15,4.918647875461746
1.17,5.067075760932491
1.19,5.187169039076098
1.21,5.2733673149669595
1.23,5.3111638025573775
1.25,5.287318101477693
1.27,5.196819376183921
1.29,5.037618011611023
1.31,4.797570116505758
1.33,4.447585048782814
1.35,3.9659268595404793
1.37,3.4027763095426833
1.39,2.9292262997716865
1.41,2.7700323814402257
1.43,3.029463762942026
1.45,3.5928795273421663
1.47,4.227243957438553
1.49,4.7562853605275475
1.51,5.128299228746293
1.53,5.368730680165916
1.55,5.517406182307724
1.57,5.6023840358935555
1.59,5.640209449116277
1.61,5.643641621721034
1.63,5.629177148941034
1.65,5.617679530422993
1.67,5.6278001936108595
1.69,5.667037864657965
1.71,5.728842489828191
1.73,5.797496407499766
1.75,5.855729763741117
1.77,5.890144110585531
1.79,5.893404718580783
1.81,5.863726236411516
1.83,5.801434397729837
1.85,5.703037628024278
1.87,5.5567767557840515
1.89,5.340812252494434
1.91,5.024275442818578
1.93,4.572112997736127
1.95,3.9703403200649223
1.97,3.2832242684205637
1.99,2.693480143078978
2.01,2.4300484777686737
2.03,2.594507688595921
2.05,3.066168680344787
2.0700000000000003,3.603947058928913
2.09,4.019122771610336
2.1100000000000003,4.237283931389291
2.13,4.247289533912415
2.1500000000000004,4.044128012984455
2.17,3.633702449067923
2.1900000000000004,3.0945762868909146
2.21,2.624486369517535
2.2300000000000004,2.469929165919714
2.25,2.7488645178770046
2.2700000000000005,3.3514181198378097
2.29,4.041324384299527
2.31,4.6341873790070025
2.33,5.06992980144239
2.35,5.369738835954294
2.37,5.575261537282508
2.39,5.721257111767775
2.41,5.831618945740372
2.43,5.920067347179813
2.45,5.9913797478182484
2.47,6.04381609028502
2.49,6.0748690974215265
2.51,6.086339631755065
2.53,6.0856425436319
2.55,6.08301571307531
2.5700000000000003,6.08648806295526
2.59,6.096990940724817
2.6100000000000003,6.10599584692932
2.63,6.097152973071227
2.6500000000000004,6.051066879332549
2.67,5.949557910669267
2.6900000000000004,5.777080921520124
2.71,5.517535568111233
2.7300000000000004,5.1501231063517245
2.75,4.649982606539208
2.7700000000000005,4.01067164582525
2.79,3.2985627616996434
2.81,2.691930367715318
2.83,2.411424139964817
2.85,2.54970504788482
2.87,2.9759125076298236
2.89,3.4325749492321895
2.91,3.706562250682964
2.93,3.701376882060207
2.95,3.4184741536520313
2.97,2.9527131847293795
2.99,2.5045909292195825
3.01,2.3072349642701333
3.03,2.4605802471691147
3.05,2.8399456222071944
3.0700000000000003,3.19456038114092
3.09,3.3204448737677783
3.1100000000000003,3.1506759082158418
3.13,2.769414362768692
3.1500000000000004,2.3969143486482762
3.17,2.2962818968647474
3.1900000000000004,2.598310315941359
3.21,3.205599393716734
3.2300000000000004,3.8935164293896776
3.25,4.484679450241334
3.2700000000000005,4.919980634021041
3.29,5.217619321221083
3.3100000000000005,5.416096295605994
3.33,5.548691907322635
3.35,5.6382096760348155
3.37,5.695993770715285
3.39,5.7234528192427465
3.41,5.715178657012073
3.43,5.663192720591065
3.45,5.558883034554624
3.47,5.392840574595102
3.49,5.151206736265397
3.51,4.811032631732898
3.53,4.340958983426884
3.55,3.7265951991499895
3.5700000000000003,3.0307425329969284
3.59,2.4373989757323518
3.61,2.1822253339686926
3.63,2.3783461067714837
3.65,2.91745615965396
3.67,3.56836623583807
3.69,4.150524984756746
3.71,4.602364611281711
3.73,4.936571235502585
3.75,5.18080262700642
3.770000000000001,5.354016471029027
3.79,5.465969090558598
3.810000000000001,5.520063693296025
3.83,5.51547227933634
3.85,5.447585637511175
3.87,5.307903798682476
3.89,5.079916573342272
3.91,4.734977001711403
3.93,4.235151846307662
3.95,3.559348964156043
3.97,2.76003167382315
3.99,2.003055227610602
4.01,1.4967188341484299
4.03,1.3201538587347184
4.050000000000001,1.3292181168827089
4.07,1.2764894230760353
4.09,1.0379429619763076
4.109999999999999,0.7232066810504811
4.13,0.5621951355569461
4.15,0.6717852456726456
4.17,0.9347353642147933
4.19,1.1202682839940152
4.21,1.1173996810641489
4.23,1.0489015364819112
4.25,1.161215748437968
4.27,1.5963977111318401
4.29,2.2698407500156517
4.3100000000000005,2.9627386376356855
4.33,3.493747179400187
4.35,3.788684353447274
4.37,3.8394672840470268
4.390000000000001,3.6517248002168072
4.41,3.245303849412789
4.43,2.7084072203033127
4.45,2.2409836020627028
4.470000000000001,2.088642039527369
4.49,2.3726576008119977
4.51,2.992908555439578
4.53,3.7236116958264294
4.550000000000001,4.383603922182772
4.57,4.905696429792481
4.59,5.296914615481555
4.61,5.583576722775799
4.63,5.7881994527343235
4.65,5.927408381481291
4.67,6.014338734656695
4.69,6.061527298444949
4.71,6.081387029981807
4.73,6.084804163213553
4.75,6.078248138110576
4.77,6.06178031402122
4.79,6.028883358301684
4.8100000000000005,5.967878960737865
4.83,5.864049886802851
4.85,5.700813738204225
4.87,5.459649660280379
4.890000000000001,5.117118521960707
4.91,4.641262941352874
4.93,3.9926194877051238
4.95,3.1490018365155974
4.970000000000001,2.1621618901632305
4.99,1.1971748425708375
5.01,0.4627699093612563
5.03,0.060293464838572675
5.050000000000001,-0.0580756038171959
5.07,0.05132686006010356
5.09,0.42964629559067635
5.11,1.1153303032340327
5.13,2.004942615259564
5.15,2.8920495754730995
5.17,3.61457504894849
5.19,4.1220342936730745
5.21,4.433941730108804
5.23,4.581189567659582
5.25,4.582294739022496
5.27,4.4435169315929155
5.29,4.160801233269368
5.3100000000000005,3.7218092670585365
5.33,3.127859621251802
5.35,2.451593579817896
5.37,1.8802039070921772
5.390000000000001,1.6468926848823813
5.41,1.859080371600629
5.43,2.40173878847075
5.45,3.03560605961151
5.470000000000001,3.5684399547405956
5.49,3.922720355251391
5.51,4.093971711468642
5.53,4.092888176286255
5.550000000000001,3.9190909557555553
5.57,3.5596791252362516
5.59,3.013951927500825
5.61,2.351666911784595
5.63,1.7553304650171553
5.65,1.4537686222644286
5.67,1.553153852524746
5.69,1.9392377309988618
5.71,2.368263183527308
5.73,2.6327640612866903
5.75,2.633609700895285
5.77,2.3651062641082214
5.79,1.9155253268597718
5.8100000000000005,1.4834696713378888
5.83,1.3061160219790127
5.85,1.4899133648064105
5.87,1.9156060976289
5.890000000000001,2.3339146545289298
5.91,2.535082716156901
5.93,2.41943126875491
5.95,1.9785375349847305
5.970000000000001,1.2905285645924245
5.99,0.533296210603174
6.01,-0.08152475236597834
6.03,-0.445971210214263
6.050000000000001,-0.5890557347457968
6.07,-0.5408804595867069
6.09,-0.23681119217763325
6.11,0.37585221292905757
6.130000000000001,1.1979666852467634
6.15,2.01850777415898
6.17,2.662480503832004
6.19,3.0600910897813467
6.21,3.2072795715933164
6.23,3.1082924830141714
6.25,2.7528555027435857
6.27,2.1387239953896993
6.29,1.3294531265221279
6.3100000000000005,0.49559033728063095
6.33,-0.15147814668804394
6.35,-0.5047037469980951
6.37,-0.6008715824820401
6.390000000000001,-0.48331199764685406
6.41,-0.10057161152153693
6.43,0.5922536263746094
6.45,1.4958745424255309
6.470000000000001,2.40657528841916
6.49,3.1631758004558046
6.51,3.7143093836648546
6.53,4.07798199009329
6.550000000000001,4.283598867185777
6.57,4.346943528535686
6.59,4.268903771176587
6.61,4.039155870343748
6.630000000000001,3.642350985970319
6.65,3.081733322385068
6.67,2.433548159256569
6.69,1.8863150416489187
6.71,1.6731001641304797
6.73,1.90391452172127
6.75,2.4701135009376554
6.77,3.138501874841552
6.79,3.718328258101044
6.8100000000000005,4.129359874817196
6.83,4.363487451797948
6.85,4.431360891872254
6.87,4.339577533169685
6.890000000000001,4.084976119349765
6.91,3.6510692810424317
6.93,3.009556260599748
6.95,2.141614603040587
6.970000000000001,1.0911302596499528
6.99,0.005926636621454762
7.01,-0.9055126747642475
7.03,-1.4818673485771328
7.050000000000001,-1.6604833416355027
7.07,-1.4522363205704387
7.09,-0.9488741992194529
7.11,-0.3552237062766692
7.130000000000001,0.06888492491801568
7.15,0.1466588060549867
7.17,-0.11719377645177964
7.19,-0.5412944267331494
7.21,-0.887059946951982
7.23,-1.0239541317259353
7.25,-0.9697357601736591
7.27,-0.7519838858874439
7.29,-0.30668907188926076
7.31,0.4207709500655321
7.33,1.3398004269422268
7.35,2.2546987018552187
7.37,3.0104773906780595
7.390000000000001,3.5594570832314814
7.41,3.9224511842354843
7.43,4.134418557726493
7.45,4.220871884107154
7.470000000000001,4.195392956753459
7.49,4.05779423555793
7.51,3.7926536293679165
7.53,3.3737512768259688
7.550000000000001,2.7925541888125966
7.57,2.1167490951120413
7.59,1.5294620717387533
7.61,1.257971239330275
7.630000000000001,1.4036447624451691
7.65,1.8470676025077362
7.67,2.344961899156103
7.689999999999999,2.6972411716677076
7.71,2.8120956250162044
7.73,2.666843328926249
7.75,2.2765243833635944
7.77,1.7273986767938627
7.79,1.2152279442054201
7.81,0.9769373659145462
7.83,1.120783282390856
7.85,1.5288861830319371
7.87,1.9542654964052684
7.890000000000001,2.192008908780008
7.91,2.149022098808527
7.93,1.804606920114268
7.95,1.1700212446372147
7.970000000000001,0.3110540110179487
7.99,-0.6137629771030313
8.01,-1.389562634898064
8.030000000000001,-1.8456932602284564
8.05,-1.9048808794908583
8.07,-1.5594795970294597
8.09,-0.8799793152204058
8.11,-0.04603304139750275
8.13,0.7089230075682122
8.15,1.2103382413713186
8.17,1.3880751917231526
8.19,1.2561808425434107
8.21,0.9155656266628229
8.23,0.5742641474048042
8.25,0.4789414748296039
8.27,0.7500294930261866
8.29,1.2882546387419245
8.31,1.8683915894357606
8.33,2.304696180372061
8.35,2.5169382306969874
8.370000000000001,2.4887031671538944
8.39,2.2111140398736335
8.41,1.6622063322335512
8.43,0.8258694309305668
8.45,-0.25472693578069805
8.47,-1.4335570744446455
8.49,-2.5045929760098455
8.51,-3.3110408956894113
8.530000000000001,-3.7970309399515316
8.55,-3.9611508898672425
8.57,-3.8055184364254124
8.59,-3.322988224665739
8.61,-2.507239566025336
8.63,-1.405836064122739
8.65,-0.1707671032054252
8.67,0.993133121257082
8.690000000000001,1.9420886153590633
8.71,2.6403614315456885
8.73,3.1180772345561154
8.75,3.4151829750209606
8.77,3.5558003255383346
8.79,3.5453419427924384
8.81,3.3768348600470457
8.83,3.036114867715937
8.85,2.5011128790098445
8.870000000000001,1.74121419241839
8.89,0.734619841844828
8.91,-0.48091697143794354
8.93,-1.7682268244415962
8.95,-2.936278025590561
8.97,-3.849169980777589
8.99,-4.456715684470298
9.01,-4.710049788810592
9.03,-4.517296740925103
9.05,-3.8351871625289715
9.07,-2.7824259750001685
9.09,-1.6280264025788775
9.11,-0.6581301766433185
9.13,-0.05120775324331106
9.15,0.15909793813869566
9.17,0.07826277008354765
9.19,-0.0655895754725977
9.21,-0.011069703335368608
9.23,0.36818562675621447
9.25,0.9725776803033597
