r,U
0.01,50.0
0.03,19.82131351817073
0.05,20.753804088671956
0.07,19.679632721483465
0.09,17.687759973272176
0.11,15.6068458270533
0.13,13.799538429871413
0.15,12.279688664509289
0.1699999999999999,10.925600955823175
0.19,9.65060375033268
0.21,8.452211884260125
0.2299999999999999,7.366642764108452
0.25,6.425688154528711
0.27,5.642771707746299
0.29,5.020799786132466
0.31,4.562466453638502
0.33,4.271511410059315
0.35,4.1411342093129235
0.37,4.144039527882596
0.39,4.24017482869581
0.41,4.396512366679641
0.43,4.594266439347971
0.45,4.814858300280415
0.47,5.025881776987005
0.49,5.187936847060065
0.51,5.274260663944968
0.53,5.2808748577986755
0.55,5.221111893897374
0.5700000000000001,5.114994047836127
0.59,4.981772878591148
0.61,4.835858509066956
0.63,4.684571900464608
0.65,4.528287758528643
0.67,4.363466869497245
0.6900000000000001,4.187001262731229
0.71,3.9999778021532566
0.73,3.8072964906751268
0.75,3.6071822475098085
0.77,3.3718784702128963
0.79,3.0469873337948807
0.81,2.6094057437518807
0.8300000000000001,2.159867176143503
0.85,1.929156388469528
0.87,2.121590548193104
0.89,2.7239132964722317
0.91,3.492402871052527
0.93,4.1230326362744165
0.95,4.422142692517493
0.97,4.375012775022354
0.99,4.134996426625589
1.01,3.9298833978490006
1.03,3.8994831585067664
1.05,4.006237029452173
1.07,4.119873496866488
1.09,4.157945177836275
1.11,4.123733945143734
1.13,4.054936841719476
1.15,3.9807872485023457
1.17,3.9189233134756587
1.19,3.8847365308907
1.21,3.89173240519086
1.23,3.944586015070627
1.25,4.0341094533833335
1.27,4.143093361710434
1.29,4.253796513241872
1.31,4.346764808204673
1.33,4.391377317562451
1.35,4.351569896508135
1.37,4.230133998052056
1.39,4.1179196959998325
1.41,4.15477285548087
1.43,4.393811861860637
1.45,4.727034960648668
1.47,4.984231565973168
1.49,5.083618342315303
1.51,5.063978164030457
1.53,5.008958763511956
1.55,4.977792599918654
1.57,4.990898092971587
1.59,5.043145989672821
1.61,5.115897232654534
1.63,5.18596792691182
1.65,5.2340837932505995
1.67,5.251438644760988
1.69,5.239365419508502
1.71,5.203065633843892
1.73,5.145509948905264
1.75,5.06885221244446
1.77,4.982976263297568
1.79,4.910195349810881
1.81,4.876764082023687
1.83,4.897668389865551
1.85,4.969485813688152
1.87,5.076551765365796
1.89,5.197750960937869
1.91,5.301502357220462
1.93,5.330425289766083
1.95,5.208574589569613
1.97,4.905301711265432
1.99,4.511914943129959
2.01,4.211908452287778
2.03,4.126651820163845
2.05,4.210245590667835
2.0700000000000003,4.326053967358025
2.09,4.393670800555631
2.1100000000000003,4.428177571977066
2.13,4.467636294657169
2.1500000000000004,4.4996458604681475
2.17,4.464689194100496
2.1900000000000004,4.335578925287537
2.21,4.194015406049134
2.2300000000000004,4.191925948435392
2.25,4.399684190406456
2.2700000000000005,4.720237486715105
2.29,4.985306224974382
2.31,5.106628637939275
2.33,5.109495345931409
2.35,5.061538136639507
2.37,5.010328292978789
2.39,4.974248769566021
2.41,4.957753126010699
2.43,4.9612939895115336
2.45,4.982179816111957
2.47,5.012873670462541
2.49,5.0447618065228585
2.51,5.074714625906326
2.53,5.106725566722327
2.55,5.1441307649755235
2.5700000000000003,5.180488832711633
2.59,5.203647736531277
2.6100000000000003,5.212148285435648
2.63,5.222102294020772
2.6500000000000004,5.2511020498066525
2.67,5.2966449516533896
2.6900000000000004,5.335332325739033
2.71,5.339895238839855
2.7300000000000004,5.290853108240917
2.75,5.16818275962785
2.7700000000000005,4.946801669497118
2.79,4.634468780502591
2.81,4.327458244947131
2.83,4.18285599719237
2.85,4.285072659996889
2.87,4.5586264351985
2.89,4.841553501350479
2.91,5.01275531484073
2.93,5.021165290401232
2.95,4.84745847879773
2.97,4.515779064651184
2.99,4.149009355020153
3.01,3.9401057830576476
3.03,4.007780372004733
3.05,4.293868957993437
3.0700000000000003,4.6237731135491025
3.09,4.833133703521479
3.1100000000000003,4.830076861332794
3.13,4.6178503711007615
3.1500000000000004,4.319232075959507
3.17,4.127761294169943
3.1900000000000004,4.158327224777048
3.21,4.3506398400731285
3.2300000000000004,4.549381615207491
3.25,4.651418051182246
3.2700000000000005,4.656788581478683
3.29,4.619863922811408
3.3100000000000005,4.592035130088105
3.33,4.599269215196783
3.35,4.64510505951967
3.37,4.722666526916628
3.39,4.825440019931532
3.41,4.9481991547993704
3.43,5.0824969744748625
3.45,5.215726443460849
3.47,5.338489216885925
3.49,5.448865483852176
3.51,5.541080202587025
3.53,5.581203658688077
3.55,5.505966920117842
3.5700000000000003,5.281933986944313
3.59,4.983476444254215
3.61,4.770286072280777
3.63,4.74254981376143
3.65,4.84184288629185
3.67,4.926897187360536
3.69,4.914346954064683
3.71,4.817792572834897
3.73,4.689207817924805
3.75,4.565733141731398
3.770000000000001,4.465506534788966
3.79,4.405612576259948
3.810000000000001,4.407065530167433
3.83,4.480357748903229
3.85,4.608807775200949
3.87,4.752258216120339
