r,U
0.01,50.0
0.03,19.951844817443764
0.05,21.221257763575274
0.07,20.55149370398572
0.09,18.869586424728602
0.11,16.8019574141848
0.13,14.641574065853382
0.15,12.562528483672937
0.1699999999999999,10.69332512588918
0.19,9.033333584449242
0.21,7.433812796456294
0.2299999999999999,5.752014205625985
0.25,4.023164091594472
0.27,2.434942780212112
0.29,1.1653295301331248
0.31,0.2924890152063062
0.33,-0.154884038717662
0.35,-0.12164647352744407
0.37,0.45563370117418067
0.39,1.5434230408758411
0.41,2.941064159662605
0.43,4.3524422720294
0.45,5.543757209757089
0.47,6.430040202455551
0.49,7.034927957070449
0.51,7.4127787051142615
0.53,7.614120270741319
0.55,7.68593367206789
0.5700000000000001,7.670117226270614
0.59,7.595619395180794
0.61,7.478169176887228
0.63,7.327875199982891
0.65,7.155430100612483
0.67,6.97356170944361
0.6900000000000001,6.798227523087206
0.71,6.649182759317743
0.73,6.54456784687946
0.75,6.491614714889412
0.77,6.484645990247678
0.79,6.513535883538635
0.81,6.56991407465809
0.8300000000000001,6.6409363285834395
0.85,6.69964789237765
0.87,6.707749436665106
0.89,6.626017079537359
0.91,6.4180463496285345
0.93,6.047634837234385
0.95,5.498822201725517
0.97,4.836230219454487
0.99,4.251104432019789
1.01,3.9895252601775724
1.03,4.172667940383796
1.05,4.695173328444149
1.07,5.326215682819386
1.09,5.887360654914849
1.11,6.323433076946838
1.13,6.656686132785401
1.15,6.922301471529519
1.17,7.138500353486426
1.19,7.304553568130942
1.21,7.408523770546987
1.23,7.436975623315217
1.25,7.3813578763965175
1.27,7.240195712506571
1.29,7.012983933799331
1.31,6.690472350206749
1.33,6.251354126459189
1.35,5.68652177969885
1.37,5.059787298901533
1.39,4.551997048048598
1.41,4.390984500907358
1.43,4.678007876599649
1.45,5.292059411686068
1.47,5.992888326968886
1.49,6.5971151881922
1.51,7.046412988959055
1.53,7.361742320119529
1.55,7.582759624560259
1.57,7.741122966153986
1.59,7.856436685708276
1.61,7.939163987936835
1.63,7.997350108627591
1.65,8.042156604427854
1.67,8.08801085549951
1.69,8.14539424228804
1.71,8.213087600482002
1.73,8.277699852606885
1.75,8.32095820303038
1.77,8.32834971902914
