r,U
0.01,50.0
0.03,17.26585299590883
0.05,17.497237306758876
0.07,15.934896061447777
0.09,13.641396196596233
0.11,11.312238470665527
0.13,9.236764227699638
0.15,7.49904123124149
0.1699999999999999,6.1063927201070864
0.19,5.0351227775988665
0.21,4.250899467880359
0.2299999999999999,3.7102574192292703
0.25,3.3604519742509336
0.27,3.143309967018883
0.29,3.0112159885771588
0.31,2.940111219415159
0.33,2.9275932318887454
0.35,2.9794374761854305
0.37,3.0961887544157793
0.39,3.2671884793291666
0.41,3.4719683660858793
0.43,3.685530927180708
0.45,3.8830224921325254
0.47,4.041033025127485
0.49,4.137755786200179
0.51,4.157052979090526
0.53,4.096651442107445
0.55,3.9733393820461327
0.5700000000000001,3.818602680251047
0.59,3.66635659787571
0.61,3.5406729797659287
0.63,3.450421959683637
0.65,3.392193952651139
0.67,3.3573829295983675
0.6900000000000001,3.3374644544498944
0.71,3.324449919891859
0.73,3.3093097319487663
0.75,3.283192742169515
0.77,3.242339225183704
0.79,3.1928869059194884
0.81,3.150813790437689
0.8300000000000001,3.134066366722121
0.85,3.1491297663630586
0.87,3.1816708181128215
0.89,3.1952938815603584
0.91,3.135900913842864
0.93,2.9401526871565267
0.95,2.5655385284361385
0.97,2.053985779523213
0.99,1.578214665830199
1.01,1.3721919826446047
1.03,1.5545605723908027
1.05,2.0269850950886665
1.07,2.5708058790065564
1.09,3.0193226596397844
1.11,3.3257665505722684
1.13,3.5191358595963846
1.15,3.6446653254789503
1.17,3.737409630198016
1.19,3.817480948546036
1.21,3.889775508271242
1.23,3.946135235918206
1.25,3.96942111667828
1.27,3.939637912977391
1.29,3.8354799202760645
1.31,3.6314140108138604
1.33,3.2965503735133197
1.35,2.816278670151772
1.37,2.2497188372200876
1.39,1.773841896028511
1.41,1.6156725613221044
1.43,1.8794440102016372
1.45,2.4488969245908825
1.47,3.0876672488235544
1.49,3.6144669530741593
1.51,3.972269491697169
1.53,4.184190422877382
1.55,4.294374643669448
1.57,4.342260036581971
1.59,4.3575423519747005
1.61,4.359035416349073
1.63,4.356309665236491
1.65,4.352985974060399
1.67,4.350244437868676
1.69,4.348138157466455
1.71,4.3465658039072945
1.73,4.346707339555813
1.75,4.351075025066338
1.77,4.360824444963587
1.79,4.372051672650718
1.81,4.374220539283362
1.83,4.3521820362429455
1.85,4.29000416002104
1.87,4.173868132579644
1.89,3.9892785627188445
1.91,3.714322479848761
1.93,3.316861400295891
1.95,2.7767738115086598
1.97,2.1447149898971514
1.99,1.5876367268207288
2.01,1.323648644253101
2.03,1.4527099957731222
2.05,1.860301152401731
2.0700000000000003,2.3149432556613743
2.09,2.6383187625616342
2.1100000000000003,2.7669405110041563
2.13,2.7004880169023524
2.1500000000000004,2.442166704370547
2.17,2.0006973459019575
2.1900000000000004,1.4515571754855605
2.21,0.9854496177031224
2.2300000000000004,0.8402958198715158
2.25,1.1259402003163066
2.2700000000000005,1.7272394650397658
2.29,2.4071047965176824
2.31,2.983009468370329
2.33,3.3952445613702267
2.35,3.662470966631827
2.37,3.8249321741686266
2.39,3.9219701610572955
2.41,3.9879740430539012
2.43,4.048466114812362
2.45,4.116597886018033
2.47,4.193117777938767
2.49,4.271967951125008
2.51,4.346996468242319
2.53,4.415605597853741
2.55,4.477974549386818
2.5700000000000003,4.534058347042389
2.59,4.581277495339883
2.6100000000000003,4.613849574384652
2.63,4.622682041572881
2.6500000000000004,4.595131948017288
2.67,4.515479694340531
2.6900000000000004,4.367293036290453
2.71,4.133215836536806
2.7300000000000004,3.7909727965751125
2.75,3.311830100099315
2.7700000000000005,2.6832749084561742
2.79,1.9673689468573263
2.81,1.3437942774406553
2.83,1.0406853926148765
2.85,1.161574804362405
2.87,1.5865489717304806
2.89,2.0661485594668543
2.91,2.3892099759276606
2.93,2.4525761192533535
2.95,2.242740820123154
2.97,1.836445922034832
2.99,1.4210379487711107
3.01,1.2274466269942952
3.03,1.364194650456911
3.05,1.7200283603814954
3.0700000000000003,2.0546932568443745
3.09,2.1668492255914193
3.1100000000000003,1.9845593028631567
3.13,1.583664175367792
3.1500000000000004,1.1778986980353654
3.17,1.0286611667788836
3.1900000000000004,1.2697480907523273
3.21,1.8093368894759472
3.2300000000000004,2.429168858406438
3.25,2.9588171111639596
3.2700000000000005,3.3464742049849656
3.29,3.6159602617344806
3.3100000000000005,3.807282822207849
3.33,3.950930862884139
3.35,4.065176110550269
3.37,4.158455031866605
3.39,4.232582660884905
3.41,4.284781339167383
3.43,4.309247292594707
3.45,4.296955119925437
3.47,4.234940186622923
3.49,4.103216843634943
3.51,3.8710850126105356
3.53,3.4988498561772854
3.55,2.964366410409495
3.5700000000000003,2.324566641471143
3.59,1.7604199257054933
3.61,1.5073562992530194
3.63,1.6802993849692092
3.65,2.174007376931125
3.67,2.761088413101172
3.69,3.2653065902489393
3.71,3.630482437184912
3.73,3.8767593042511805
3.75,4.041401183447475
3.770000000000001,4.153582104244293
3.79,4.23186876958747
3.810000000000001,4.28592978523079
3.83,4.3178415753003865
3.85,4.321338111161438
3.87,4.282010121667966
3.89,4.176613986271208
3.91,3.9727727261710974
3.93,3.6318511123613844
3.95,3.131311100809196
3.97,2.517784904325427
3.99,1.946560708498163
4.01,1.6135116814095998
4.03,1.5872568945182364
4.050000000000001,1.7170357059438093
4.07,1.7520498767969004
4.09,1.5664589732481673
4.109999999999999,1.2690138503857957
4.13,1.090609663331958
4.15,1.1520756680151338
4.17,1.3426033687653822
4.19,1.4376882422460229
4.21,1.3292749313139796
4.23,1.1387346047058093
4.25,1.109575809109753
4.27,1.3844766628570069
4.29,1.8865379338293993
4.3100000000000005,2.411021492746495
4.33,2.7928754071719197
4.35,2.9715096199188507
4.37,2.945899670086181
4.390000000000001,2.720790948047405
4.41,2.3089892973823147
4.43,1.7889014962480436
4.45,1.3497074510552753
4.470000000000001,1.224781632037348
4.49,1.521831811994364
4.51,2.1287036262635075
4.53,2.813091938879853
4.550000000000001,3.394965154005715
4.57,3.815164318478132
4.59,4.092687813578607
4.61,4.266139212514037
4.63,4.368212699800582
4.65,4.423180818297826
4.67,4.449335230820644
4.69,4.460412653259663
4.71,4.464004288184764
