r,U
0.01,50.0
0.03,20.363062530938905
0.05,21.676600368787796
0.07,21.09816209477968
0.09,19.60966804456178
0.11,17.881857537810006
0.13,16.189878975496953
0.15,14.601566771292413
0.1699999999999999,13.120371310072668
0.19,11.741260894664174
0.21,10.466526812239273
0.2299999999999999,9.295955618450387
0.25,8.21477771726033
0.27,7.199515814010789
0.29,6.263554408799758
0.31,5.500019995987875
0.33,5.042383139905635
0.35,4.945824110941691
0.37,5.12020610181243
0.39,5.40149132261817
0.41,5.67053249695981
0.43,5.891012226272627
0.45,6.068307119452333
0.47,6.207530099680163
0.49,6.305925366176817
0.51,6.362123688821637
0.53,6.380368729815878
0.55,6.366911613167744
0.5700000000000001,6.324307153149693
0.59,6.249974702929604
0.61,6.138517965565109
0.63,5.985236128497997
0.65,5.788421973918371
0.67,5.549630275852678
0.6900000000000001,5.27202821384212
0.71,4.958731787144604
0.73,4.61516276630941
0.75,4.25644378151288
0.77,3.9129860166778254
0.79,3.6266528044586437
0.81,3.4406093840707026
0.8300000000000001,3.3912331114033227
0.85,3.501263202902879
0.87,3.7691929025193254
0.89,4.155545087121885
0.91,4.577052603064061
0.93,4.916123465792699
0.95,5.057698712407602
0.97,4.9618430482153855
0.99,4.726606706974259
1.01,4.542282058617104
1.03,4.533301386398497
1.05,4.655710575994652
1.07,4.771602332847875
1.09,4.790957636188871
1.11,4.719562791032171
1.13,4.611163024639355
1.15,4.511698410225774
1.17,4.435649786589282
1.19,4.368035667198596
1.21,4.277331819632307
1.23,4.137851929202311
1.25,3.964439366264444
1.27,3.8391571553995743
1.29,3.8715674931424306
1.31,4.094399724749754
1.33,4.402983112895159
1.35,4.628420062193104
1.37,4.6858971814249415
1.39,4.656011317161159
1.41,4.709502458561017
1.43,4.9316410086047515
1.45,5.2333272997726255
1.47,5.452607263700992
1.49,5.514687202731038
1.51,5.474378740494556
1.53,5.438574116871525
1.55,5.47789993445933
1.57,5.594195349599712
1.59,5.743205321805124
1.61,5.87668326877011
1.63,5.965911152871534
1.65,5.996358097891733
1.67,5.954876609923536
1.69,5.826101406284943
1.71,5.595274853234704
1.73,5.259184124218752
1.75,4.8566762247495365
1.77,4.497492348591642
1.79,4.32629626194797
1.81,4.416203957870605
1.83,4.703457951048177
1.85,5.048701314841287
1.87,5.349932409341175
1.89,5.580865817750048
1.91,5.743703424216335
1.93,5.810695999953321
1.95,5.721193255798241
1.97,5.45124687263783
1.99,5.093551064728045
2.01,4.8296329262891895
2.03,4.778736326368634
2.05,4.894578644815224
2.0700000000000003,5.039742136853329
2.09,5.131046711648713
2.1100000000000003,5.181779737269565
2.13,5.232495111558045
2.1500000000000004,5.275199077475351
2.17,5.251450273672859
2.1900000000000004,5.131175233743944
2.21,4.99371124334032
2.2300000000000004,4.992153814835529
2.25,5.199500316869994
2.2700000000000005,5.515160985779193
2.29,5.751852941216308
2.31,5.782359374656732
2.33,5.5900261086861125
2.35,5.245270334337361
2.37,4.884024353837585
2.39,4.656180596359608
2.41,4.617840422061457
2.43,4.672109576555032
2.45,4.6584167069744336
2.47,4.5112570003095485
2.49,4.326988925378057
2.51,4.27613712554761
2.53,4.449401489514733
2.55,4.7873896331322445
2.5700000000000003,5.15112583721678
2.59,5.435831152525942
2.6100000000000003,5.61494572039504
2.63,5.7117025542988085
2.6500000000000004,5.759643778775027
2.67,5.782889282443117
2.6900000000000004,5.79348124932906
2.71,5.792144326187644
2.7300000000000004,5.765697470936587
2.75,5.68138331242206
2.7700000000000005,5.499218799424575
2.79,5.222049028332812
2.81,4.9483148409800695
2.83,4.835243740798978
2.85,4.962413041870226
2.87,5.249377671951713
2.89,5.535545322591819
2.91,5.708643936217607
2.93,5.7270168484631725
2.95,5.5725293607399
2.97,5.261393289794665
2.99,4.906808006471344
3.01,4.697270916791929
3.03,4.753987012699094
3.05,5.026596801871326
3.0700000000000003,5.349939393154864
3.09,5.565203199650355
3.1100000000000003,5.578176101482205
3.13,5.383291393636128
3.1500000000000004,5.0934598110311615
3.17,4.896152926997518
3.1900000000000004,4.906068496237227
3.21,5.0680517428969605
3.2300000000000004,5.234317534424369
3.25,5.307249719144574
3.2700000000000005,5.288165285432539
3.29,5.230106737462938
3.3100000000000005,5.1821869566693355
3.33,5.166167900255784
3.35,5.179878787011045
3.37,5.214421908829287
3.39,5.269513890634013
3.41,5.3519304258621805
3.43,5.464197594393134
3.45,5.598810026611169
3.47,5.743508097474965
3.49,5.885851407512545
3.51,6.006876410552968
3.53,6.065149497521784
3.55,5.999825741139329
3.5700000000000003,5.785100462467611
3.59,5.4996261361054515
3.61,5.300379612824873
3.63,5.281477438243739
3.65,5.380828685173615
3.67,5.458287428361302
3.69,5.434941722475884
3.71,5.330275350603937
3.73,5.203894305191172
3.75,5.102064490190356
3.770000000000001,5.047917179929605
3.79,5.05076257750828
3.810000000000001,5.110266118715703
3.83,5.213880736479748
3.85,5.334129382961136
3.87,5.4357513439747365
3.89,5.487769441498299
3.91,5.467417192921625
3.93,5.348084242058077
3.95,5.097194792108992
3.97,4.7199135282829126
3.99,4.319172768926061
4.01,4.064941149413162
4.03,4.049053251721821
4.050000000000001,4.178801444791928
4.07,4.2524404188111635
4.09,4.146172632715946
4.109999999999999,3.925226261664596
4.13,3.7706801238530625
4.15,3.788302882484359
4.17,3.8948949816590046
