r,U
0.01,50.0
0.03,20.03031720301011
0.05,20.412405953881354
0.07,18.683245790968193
0.09,15.987655185341788
0.11,13.2088083032561
0.13,10.76881647407315
0.15,8.758961976733127
0.1699999999999999,7.124171875372976
0.19,5.787803442588427
0.21,4.70041060014516
0.2299999999999999,3.8341704402228705
0.25,3.170996942436241
0.27,2.6929502417131785
0.29,2.379830807811232
0.31,2.2096202049801756
0.33,2.1588796491910904
0.35,2.2030322788936263
0.37,2.3165641504271393
0.39,2.473647420202028
0.41,2.6493931776313002
0.43,2.8214788132083526
0.45,2.971655383135777
0.47,3.086737250402224
0.49,3.158924025528418
0.51,3.1855089814426827
0.53,3.1681533736401186
0.55,3.1119630952083788
0.5700000000000001,3.0245491637279858
0.59,2.9151017501292382
0.61,2.7934133138970068
0.63,2.6688615378546037
0.65,2.5494908432657684
0.67,2.4413266498293553
0.6900000000000001,2.347958335689452
0.71,2.270436321054555
0.73,2.2076374463721034
0.75,2.157162236157895
0.77,2.1163852166630597
0.79,2.0831678113881673
0.81,2.0557359656195433
0.8300000000000001,2.034783394628653
0.85,2.0320272906754675
0.87,2.0871662056367675
0.89,2.272808615662782
0.91,2.6510939263792506
0.93,3.182461989158577
0.95,3.6848657409848324
0.97,3.947495552073699
0.99,3.911948571416579
1.01,3.693868722432471
1.03,3.417366575519997
1.05,3.109654769717167
1.07,2.782792241189355
1.09,2.5176420206483114
1.11,2.403072556495425
1.13,2.444786568143282
1.15,2.5745809786547214
1.17,2.7180017874992983
1.19,2.8320713485937916
1.21,2.8996966760126868
1.23,2.913742241412623
1.25,2.8710248254070243
1.27,2.781948428365998
1.29,2.688540883082522
1.31,2.66962754985528
1.33,2.800108724925679
1.35,3.07924765484993
1.37,3.4196909596702416
1.39,3.7418583518298134
1.41,4.040951591194405
1.43,4.305652144372495
1.45,4.430130009161147
1.47,4.306784474314032
1.49,3.9833239902740316
1.51,3.6453540235370663
1.53,3.448407523255573
1.55,3.414393658734834
1.57,3.4736038120803436
1.59,3.55235833108183
1.61,3.613499299303602
1.63,3.6501134358294647
1.65,3.667315222139034
1.67,3.671968211254389
1.69,3.669126822707478
1.71,3.661688431492783
1.73,3.650290808043247
1.75,3.6332746518904266
1.77,3.606747262881625
1.79,3.565061307192542
1.81,3.504356620284724
1.83,3.4325344002070612
1.85,3.3858438719217987
1.87,3.4370855267679485
1.89,3.6612054322243295
1.91,4.052858460128991
1.93,4.466363996871898
1.95,4.679825991116303
1.97,4.570332636018836
1.99,4.231276166455652
2.01,3.877876557547632
2.03,3.619279262494777
2.05,3.366973871020854
2.0700000000000003,2.9972547024070333
2.09,2.5564091363809642
2.1100000000000003,2.2551758712726895
2.13,2.277975329202748
2.1500000000000004,2.6121324845452887
2.17,3.049520359375267
2.1900000000000004,3.36722924495572
2.21,3.529466637292607
2.2300000000000004,3.6862055363741235
2.25,3.948399437779947
2.2700000000000005,4.215835129563873
2.29,4.274047714221933
2.31,4.029038076003278
2.33,3.602597593948761
2.35,3.2142506527501724
2.37,3.008040109085592
2.39,2.9901721104875274
2.41,3.087619352759797
2.43,3.227408222686415
2.45,3.369586610181774
2.47,3.4999474409394984
2.49,3.6153759810748167
2.51,3.715367113630078
2.53,3.79893208059347
2.55,3.863614109904861
2.5700000000000003,3.904604657667203
2.59,3.914679478484864
2.6100000000000003,3.8853374266577387
2.63,3.811528199243494
2.6500000000000004,3.702403862983496
2.67,3.597454427440549
2.6900000000000004,3.5731038343680956
2.71,3.7073881347990656
2.7300000000000004,3.9997360692080934
2.75,4.315331642817583
2.7700000000000005,4.45009964340737
2.79,4.298738716358933
2.81,3.964706318137192
2.83,3.6702340996180687
2.85,3.5456979417430463
2.87,3.548254288944866
2.89,3.593683480227638
2.91,3.679053570579432
2.93,3.8119627270254184
2.95,3.8977634721068415
2.97,3.805006717750008
2.99,3.5303909466436942
3.01,3.2210351869778724
3.03,3.0321525272256244
3.05,3.0245435629427555
3.0700000000000003,3.184073444246937
3.09,3.4402073032117655
3.1100000000000003,3.6562274803187456
3.13,3.70961488295671
3.1500000000000004,3.624309134997912
3.17,3.549393562921716
3.1900000000000004,3.564896043319569
3.21,3.5744397636725824
3.2300000000000004,3.443298272864213
3.25,3.1856452729237223
3.2700000000000005,2.953351865301046
3.29,2.873986003654774
3.3100000000000005,2.9534483169498915
3.33,3.1156144406394914
3.35,3.2825785131495473
3.37,3.410992818687745
3.39,3.486832184783537
3.41,3.512274129699413
3.43,3.5054843491916965
3.45,3.5123355824453175
3.47,3.612144662219856
3.49,3.8817022080577366
3.51,4.314321276455203
3.53,4.764952296660981
3.55,5.018887557538365
3.5700000000000003,4.964916787092509
3.59,4.705877115624512
3.61,4.45958388857038
3.63,4.330230855626594
3.65,4.215956864345467
3.67,3.9697714262676684
3.69,3.598932018934972
3.71,3.255014587834227
3.73,3.0682971243533106
3.75,3.0469822908639403
3.770000000000001,3.1154677440923284
3.79,3.1946834335791725
