r,U
0.01,50.0
0.03,5.202916349911515
0.05,5.693201407875549
0.07,5.110495672824168
0.09,4.415218858147018
0.11,4.000920101014138
0.13,3.834947494114381
0.15000000000000002,3.7867863366526464
0.16999999999999998,3.776352546105631
0.19,3.774239375233787
0.21000000000000002,3.774239375233787
0.22999999999999998,3.774239375233787
0.25,3.774239375233787
0.27,3.774239375233787
0.29000000000000004,3.774239375233787
0.31,3.774239375233787
0.33,3.774239375233787
0.35,3.774239375233787
0.37,3.774239375233787
0.39,3.774239375233787
0.41000000000000003,3.774239375233787
0.43,3.774239375233787
0.45,3.774239375233787
0.47,3.774239375233787
0.49,3.774239375233787
0.51,3.774239375233787
0.53,3.774239375233787
0.55,3.774239375233787
0.5700000000000001,3.774239375233787
0.59,3.774239375233787
0.61,3.774239375233787
0.63,3.774239375233787
0.65,3.774239375233787
0.67,3.774239375233787
0.6900000000000001,3.774239375233787
0.71,3.774239375233787
0.73,3.774239375233787
0.75,3.774239375233787
0.77,3.774239375233787
0.79,3.774239375233787
0.81,3.774239375233787
0.8300000000000001,3.774239375233787
0.85,3.7723028766476894
0.87,3.7616118182270597
0.89,3.7101113493377476
0.91,3.5206081127255153
0.93,2.993000087043459
0.95,1.9001437481175678
0.97,0.2729677960325052
0.99,-1.3200807127507908
1.01,-1.9983815518931944
1.03,-1.3200807127507908
1.05,0.272967796032507
1.07,1.9001437481175678
1.09,2.993000087043459
1.11,3.5206081127255153
1.1300000000000001,3.7101113493377476
1.15,3.7616118182270597
1.17,3.772302876647686
1.19,3.774239375233787
1.21,3.774239375233787
1.23,3.774239375233787
1.25,3.7723281129876796
1.27,3.761776379835414
1.29,3.7109470621424023
1.31,3.523913420986247
1.33,3.0031811532390265
1.35,1.9245668562803573
1.37,0.3185961691255681
1.3900000000000001,-1.2536918216373891
1.4100000000000001,-1.9231530826272198
1.43,-1.2536918216373891
1.45,0.3185961691255681
1.47,1.9245668562803573
1.49,3.0031811532390265
1.51,3.523913420986247
1.53,3.7109470621424023
1.55,3.761776379835414
1.57,3.7723281129876796
1.59,3.774239375233787
1.61,3.774239375233787
1.6300000000000001,3.774239375233787
1.6500000000000001,3.774239375233787
